292|-93306730.54461624|[[0.474262535572052, 0.48285797238349915], [0.4763832986354828, 0.4843943119049072], [0.4785606265068054, 0.4858427047729492], [0.48005369305610657, 0.48683005571365356], [0.4788667857646942, 0.486958384513855], [0.4766368269920349, 0.4871275722980499], [0.4752371907234192, 0.4869472086429596], [0.47578737139701843, 0.4873909056186676], [0.47648072242736816, 0.4873448312282562], [0.4764801859855652, 0.4889087677001953], [0.47571831941604614, 0.48941758275032043], [0.4748222231864929, 0.4887720048427582], [0.4732205867767334, 0.4876396656036377], [0.4710902273654938, 0.486373633146286], [0.4694792330265045, 0.4857304096221924], [0.4670634865760803, 0.48555439710617065], [0.4635286331176758, 0.4862317144870758], [0.4597044289112091, 0.4876275062561035], [0.4557115435600281, 0.49009576439857483], [0.45159676671028137, 0.49419382214546204], [0.4481157064437866, 0.49810123443603516], [0.4441697597503662, 0.4998721778392792], [0.44131386280059814, 0.5024434924125671], [0.43998482823371887, 0.503092885017395], [0.4377860128879547, 0.5068238973617554], [0.43531596660614014, 0.509282112121582], [0.433421790599823, 0.5092517733573914], [0.43245548009872437, 0.5094366669654846], [0.4297151565551758, 0.5087681412696838], [0.42845481634140015, 0.5063797235488892], [0.4268342852592468, 0.5044163465499878], [0.424245148897171, 0.5028027296066284], [0.42192986607551575, 0.501353919506073], [0.42115306854248047, 0.5005165338516235], [0.4199341833591461, 0.49920400977134705], [0.41819077730178833, 0.49765703082084656], [0.4164840579032898, 0.4960803985595703], [0.41436487436294556, 0.4943130910396576], [0.41123688220977783, 0.49238714575767517], [0.40810099244117737, 0.4905146360397339], [0.4046671986579895, 0.4886576235294342], [0.40122324228286743, 0.4872138798236847], [0.3975335955619812, 0.4854006767272949], [0.39418840408325195, 0.48362448811531067], [0.3912533223628998, 0.4822704493999481], [0.38806796073913574, 0.4806469678878784], [0.38512763381004333, 0.47948336601257324], [0.3820580542087555, 0.4783363938331604], [0.37925606966018677, 0.4768446087837219], [0.3764294385910034, 0.47530078887939453], [0.3734067678451538, 0.47360920906066895], [0.3706889748573303, 0.4716116786003113], [0.3681497573852539, 0.46965670585632324]]
584|-93464099.76204267|[[0.47531652450561523, 0.48202842473983765], [0.47764143347740173, 0.48344969749450684], [0.4799952805042267, 0.4847995936870575], [0.4805926978588104, 0.4854605495929718], [0.479403018951416, 0.48513269424438477], [0.4775041937828064, 0.48526015877723694], [0.4765918552875519, 0.4854699969291687], [0.47792497277259827, 0.4863288998603821], [0.4775424003601074, 0.48594769835472107], [0.4775800406932831, 0.4870327413082123], [0.47699159383773804, 0.48704448342323303], [0.476118266582489, 0.48624008893966675], [0.4743601083755493, 0.4839610159397125], [0.47323304414749146, 0.4819861054420471], [0.4715130925178528, 0.48013633489608765], [0.4690455198287964, 0.4794464409351349], [0.46574273705482483, 0.4807160794734955], [0.46163368225097656, 0.4831283986568451], [0.457421213388443, 0.48624423146247864], [0.453127384185791, 0.48975786566734314], [0.4487237334251404, 0.49456459283828735], [0.44496139883995056, 0.49796435236930847], [0.4413394629955292, 0.499604731798172], [0.43959707021713257, 0.5021121501922607], [0.4378341734409332, 0.5034363865852356], [0.435461163520813, 0.5072530508041382], [0.43350571393966675, 0.5086485147476196], [0.43212953209877014, 0.5082964301109314], [0.4305155277252197, 0.5089007019996643], [0.42883044481277466, 0.5066363215446472], [0.4271089434623718, 0.5040809512138367], [0.42499256134033203, 0.5023571848869324], [0.4217700958251953, 0.5010392665863037], [0.4207398295402527, 0.5001559853553772], [0.4195758104324341, 0.49893006682395935], [0.4180891215801239, 0.49712568521499634], [0.4159665107727051, 0.4953118860721588], [0.41354697942733765, 0.49358075857162476], [0.4099236726760864, 0.49119633436203003], [0.4066775143146515, 0.4894541800022125], [0.40314245223999023, 0.48777493834495544], [0.3991733491420746, 0.48594874143600464], [0.3950367271900177, 0.483919620513916], [0.3920132517814636, 0.4822482168674469], [0.3887178897857666, 0.48065313696861267], [0.385722815990448, 0.4792284071445465], [0.3824262022972107, 0.4780476689338684], [0.37935134768486023, 0.47645604610443115], [0.37630829215049744, 0.4748613238334656], [0.37322086095809937, 0.47317439317703247], [0.3705487847328186, 0.47121351957321167], [0.3678954243659973, 0.4691765308380127], [0.36526280641555786, 0.467257559299469]]
876|-93288324.42839928|[[0.47571542859077454, 0.48185276985168457], [0.4776841402053833, 0.4832840859889984], [0.4796823263168335, 0.48463261127471924], [0.48071399331092834, 0.48561301827430725], [0.47998175024986267, 0.4856470823287964], [0.4777939021587372, 0.4858047068119049], [0.4762808680534363, 0.48589450120925903], [0.4760085344314575, 0.48648229241371155], [0.47708559036254883, 0.48695385456085205], [0.47691693902015686, 0.4875551760196686], [0.47634297609329224, 0.4889023005962372], [0.4756142199039459, 0.48949724435806274], [0.47442564368247986, 0.48922938108444214], [0.47287628054618835, 0.48880088329315186], [0.4706859588623047, 0.4888271689414978], [0.4681819677352905, 0.48964837193489075], [0.4656948745250702, 0.4906696677207947], [0.4624323844909668, 0.49168071150779724], [0.4588683247566223, 0.49371644854545593], [0.4552339017391205, 0.49671658873558044], [0.4512002766132355, 0.49971064925193787], [0.44693121314048767, 0.5018605589866638], [0.44418656826019287, 0.5043419599533081], [0.44332072138786316, 0.5047811269760132], [0.44028082489967346, 0.50762540102005], [0.4375666379928589, 0.5101414322853088], [0.4350644052028656, 0.5099125504493713], [0.4331759214401245, 0.5099363327026367], [0.43123146891593933, 0.5097569823265076], [0.42925161123275757, 0.5081744194030762], [0.4278869926929474, 0.5055345296859741], [0.4262411594390869, 0.503533124923706], [0.42354652285575867, 0.5018596649169922], [0.42131102085113525, 0.5005811452865601], [0.42020443081855774, 0.49970707297325134], [0.4188521206378937, 0.49812695384025574], [0.41696667671203613, 0.49607720971107483], [0.4148543179035187, 0.494076132774353], [0.4116173982620239, 0.492050439119339], [0.40808629989624023, 0.4897610545158386], [0.40461939573287964, 0.48811689019203186], [0.4008818566799164, 0.48650386929512024], [0.3961436152458191, 0.48376554250717163], [0.3923135995864868, 0.481739342212677], [0.38888177275657654, 0.47993946075439453], [0.385868102312088, 0.4784996211528778], [0.3825998902320862, 0.4771887958049774], [0.37949833273887634, 0.4758163094520569], [0.37617942690849304, 0.4741075336933136], [0.37314102053642273, 0.47250333428382874], [0.3704957067966461, 0.4705115556716919], [0.367948979139328, 0.46849310398101807], [0.3655332326889038, 0.4667915403842926]]
1168|-93980536.51610103|[[0.48613041639328003, 0.5199475288391113], [0.4865695536136627, 0.5190719962120056], [0.4872170090675354, 0.5180445313453674], [0.4874461591243744, 0.5162909626960754], [0.48654118180274963, 0.5154133439064026], [0.4839816689491272, 0.5151438117027283], [0.48176252841949463, 0.514778196811676], [0.4807230234146118, 0.5139414072036743], [0.4803113341331482, 0.5135927796363831], [0.47954291105270386, 0.5131180882453918], [0.4792240560054779, 0.513319730758667], [0.4789392054080963, 0.5142088532447815], [0.4779932498931885, 0.513283908367157], [0.47676771879196167, 0.5118985772132874], [0.4750202000141144, 0.5114322304725647], [0.4734085202217102, 0.5119772553443909], [0.47155463695526123, 0.512998640537262], [0.47039157152175903, 0.5137380361557007], [0.47045159339904785, 0.5153198838233948], [0.47031936049461365, 0.5179566740989685], [0.4703514873981476, 0.5214288234710693], [0.47064971923828125, 0.5247911810874939], [0.47309258580207825, 0.5264900326728821], [0.4765833020210266, 0.5268838405609131], [0.47990429401397705, 0.526848554611206], [0.48219597339630127, 0.5248754024505615], [0.48438310623168945, 0.5207500457763672], [0.4852522015571594, 0.5185088515281677], [0.485386461019516, 0.518677830696106], [0.48451942205429077, 0.5169330835342407], [0.48244306445121765, 0.5150580406188965], [0.479760080575943, 0.5123651027679443], [0.4774641990661621, 0.5095821619033813], [0.4745865762233734, 0.5079335570335388], [0.47116580605506897, 0.5063287615776062], [0.46604669094085693, 0.5043679475784302], [0.4604123830795288, 0.5027313828468323], [0.45549464225769043, 0.5012646913528442], [0.45029887557029724, 0.5001565217971802], [0.4454715847969055, 0.4989572763442993], [0.4408412277698517, 0.49723780155181885], [0.4373752176761627, 0.495909184217453], [0.4339350461959839, 0.49392828345298767], [0.43075209856033325, 0.4915444552898407], [0.42777231335639954, 0.48940715193748474], [0.4252852201461792, 0.48717227578163147], [0.4228178560733795, 0.48499393463134766], [0.4208778440952301, 0.48269277811050415], [0.4192359745502472, 0.48029834032058716], [0.4180777668952942, 0.47794514894485474], [0.4167806804180145, 0.4756421744823456], [0.41573232412338257, 0.47346997261047363], [0.414917528629303, 0.47128450870513916]]
1460|-95817583.78730035|[[0.34433427453041077, 0.4756128787994385], [0.35069411993026733, 0.4786321818828583], [0.35696423053741455, 0.4813760221004486], [0.36300140619277954, 0.48399806022644043], [0.3689858913421631, 0.48790818452835083], [0.37504106760025024, 0.49278438091278076], [0.3814103305339813, 0.4991217255592346], [0.3884151577949524, 0.506027102470398], [0.3938539922237396, 0.5122181177139282], [0.39846906065940857, 0.5189436078071594], [0.40165385603904724, 0.5215156078338623], [0.4040728807449341, 0.5249193906784058], [0.40509408712387085, 0.5279905796051025], [0.4055519104003906, 0.5292519927024841], [0.407067209482193, 0.5314302444458008], [0.408221960067749, 0.5327724814414978], [0.4092748761177063, 0.5335853695869446], [0.41043928265571594, 0.5349974036216736], [0.41177988052368164, 0.5363473892211914], [0.4136260449886322, 0.5376114249229431], [0.4165404438972473, 0.5393238663673401], [0.419297993183136, 0.5418356657028198], [0.4229208528995514, 0.5445047616958618], [0.4263901710510254, 0.5476100444793701], [0.4299441874027252, 0.549342691898346], [0.432687908411026, 0.5475674271583557], [0.43624353408813477, 0.5454345345497131], [0.43922996520996094, 0.544344425201416], [0.4433240294456482, 0.5460852384567261], [0.44902369379997253, 0.5465813875198364], [0.45317310094833374, 0.5452963709831238], [0.4546029567718506, 0.5419117212295532], [0.4546024203300476, 0.539509654045105], [0.45322027802467346, 0.5370702147483826], [0.44927841424942017, 0.5329140424728394], [0.4441733956336975, 0.5293346047401428], [0.4393586814403534, 0.5266728401184082], [0.4359559416770935, 0.5247955918312073], [0.43197154998779297, 0.5229777693748474], [0.4267949163913727, 0.521538257598877], [0.4206644892692566, 0.5200100541114807], [0.41452497243881226, 0.5193316340446472], [0.40876203775405884, 0.5189651250839233], [0.403194785118103, 0.5191072225570679], [0.3978331685066223, 0.5197363495826721], [0.39245370030403137, 0.5199014544487], [0.38769882917404175, 0.5203193426132202], [0.38312363624572754, 0.5204598307609558], [0.37877264618873596, 0.5202651023864746], [0.3745805621147156, 0.5203220248222351], [0.3708229660987854, 0.5209980010986328], [0.36722731590270996, 0.5219274759292603], [0.36382466554641724, 0.522466242313385]]
1752|-98317115.69480595|[[0.38190242648124695, 0.44196856021881104], [0.3849913477897644, 0.4453645348548889], [0.3880513310432434, 0.44866782426834106], [0.39078474044799805, 0.4522596597671509], [0.3933400511741638, 0.4568291902542114], [0.39526867866516113, 0.46222949028015137], [0.3982407748699188, 0.46893322467803955], [0.4022282361984253, 0.47694897651672363], [0.40637707710266113, 0.48541349172592163], [0.4101862907409668, 0.49394622445106506], [0.412221759557724, 0.5029909610748291], [0.41470158100128174, 0.509804368019104], [0.41620445251464844, 0.5160775184631348], [0.4167866110801697, 0.5212393403053284], [0.4169958531856537, 0.5252219438552856], [0.41821974515914917, 0.5291808843612671], [0.4201543927192688, 0.5330206155776978], [0.422771692276001, 0.5369935631752014], [0.4257071018218994, 0.5407251119613647], [0.4287359118461609, 0.544207751750946], [0.4321683645248413, 0.5475775599479675], [0.43631047010421753, 0.5510565638542175], [0.4401816427707672, 0.5537346601486206], [0.44243520498275757, 0.5532268285751343], [0.44617506861686707, 0.5546869039535522], [0.4509257972240448, 0.5571338534355164], [0.4566485285758972, 0.561678946018219], [0.459422767162323, 0.5636409521102905], [0.4605274796485901, 0.5628323554992676], [0.4600222408771515, 0.5600436329841614], [0.45546281337738037, 0.5547000169754028], [0.44979798793792725, 0.5477660298347473], [0.4445509612560272, 0.5414590835571289], [0.43843454122543335, 0.5334228873252869], [0.4316105246543884, 0.5254935622215271], [0.42619284987449646, 0.5182023048400879], [0.4219358265399933, 0.5121464133262634], [0.41776859760284424, 0.5070266723632812], [0.4145134389400482, 0.5021955370903015], [0.41201767325401306, 0.4974988102912903], [0.40931862592697144, 0.49363163113594055], [0.40554627776145935, 0.49094435572624207], [0.40204793214797974, 0.4883835017681122], [0.399087131023407, 0.4856441915035248], [0.3970051407814026, 0.4831961989402771], [0.3953743577003479, 0.4809921979904175], [0.39385297894477844, 0.47896280884742737], [0.3926341235637665, 0.47746002674102783], [0.39159783720970154, 0.4762139320373535], [0.39059579372406006, 0.47474968433380127], [0.38989704847335815, 0.4736781418323517], [0.3890906870365143, 0.4724530577659607], [0.3882676959037781, 0.47146347165107727]]
2044|-110770824.59733228|[[0.3609563708305359, 0.409152090549469], [0.36396223306655884, 0.4135582149028778], [0.36682167649269104, 0.41773706674575806], [0.36932939291000366, 0.4217703342437744], [0.3707538843154907, 0.42646342515945435], [0.37181535363197327, 0.4337950348854065], [0.3731549084186554, 0.4437851309776306], [0.37233948707580566, 0.4526282250881195], [0.3749968111515045, 0.4617677927017212], [0.37380319833755493, 0.46806713938713074], [0.37072524428367615, 0.474483460187912], [0.36858266592025757, 0.47727182507514954], [0.3669074773788452, 0.4784366190433502], [0.3632570505142212, 0.47844964265823364], [0.35950616002082825, 0.478115439414978], [0.35705655813217163, 0.4806787073612213], [0.35487663745880127, 0.4847646653652191], [0.3534683585166931, 0.4891495704650879], [0.35350632667541504, 0.4930460453033447], [0.3554723858833313, 0.49736088514328003], [0.3584316670894623, 0.502190351486206], [0.36235693097114563, 0.5073542594909668], [0.3672254979610443, 0.5129348635673523], [0.3732846677303314, 0.5191677212715149], [0.3809582591056824, 0.5272251963615417], [0.3897548019886017, 0.5361712574958801], [0.40034785866737366, 0.5464449524879456], [0.41081684827804565, 0.5553417801856995], [0.4226236641407013, 0.5658503174781799], [0.43725109100341797, 0.5777576565742493], [0.4509250819683075, 0.5868291854858398], [0.4650210738182068, 0.5913186073303223], [0.4715791344642639, 0.591926097869873], [0.46812957525253296, 0.5859116315841675], [0.4613727033138275, 0.5774438977241516], [0.4550935626029968, 0.5640469193458557], [0.4465489387512207, 0.5503597855567932], [0.4377356469631195, 0.538148045539856], [0.43019935488700867, 0.5265340209007263], [0.4234781563282013, 0.5169355869293213], [0.41669705510139465, 0.5089837908744812], [0.41055428981781006, 0.5017067193984985], [0.4054572284221649, 0.49509531259536743], [0.39973974227905273, 0.4891340732574463], [0.39426398277282715, 0.48375535011291504], [0.38886529207229614, 0.4785173833370209], [0.38465747237205505, 0.47402524948120117], [0.38081488013267517, 0.4697168469429016], [0.37738579511642456, 0.4657103419303894], [0.3741315007209778, 0.46193769574165344], [0.3712848126888275, 0.45939192175865173], [0.36847686767578125, 0.45688486099243164], [0.3656684160232544, 0.4549201428890228]]
2336|-97442003.37156619|[[0.40534064173698425, 0.4210055470466614], [0.40772825479507446, 0.4265795052051544], [0.4099687933921814, 0.4321694076061249], [0.41181033849716187, 0.43801265954971313], [0.413377046585083, 0.4455428421497345], [0.4138498604297638, 0.45461276173591614], [0.4144013226032257, 0.46535176038742065], [0.415655255317688, 0.4766828119754791], [0.41841647028923035, 0.4871629774570465], [0.42293581366539, 0.4997883439064026], [0.42836010456085205, 0.5103437900543213], [0.4335412383079529, 0.518733561038971], [0.43686288595199585, 0.5257619619369507], [0.43918928503990173, 0.5319839715957642], [0.4410123825073242, 0.5373280048370361], [0.44335177540779114, 0.5427106022834778], [0.4463881552219391, 0.5488574504852295], [0.4500473439693451, 0.5549089908599854], [0.454439640045166, 0.5610653162002563], [0.45931556820869446, 0.5674587488174438], [0.4656734764575958, 0.5729140639305115], [0.47258034348487854, 0.5772411823272705], [0.47966232895851135, 0.58187335729599], [0.48841795325279236, 0.5854863524436951], [0.4943062961101532, 0.5866743326187134], [0.49538087844848633, 0.5846872329711914], [0.4930029511451721, 0.579116702079773], [0.48672008514404297, 0.5698824524879456], [0.47739267349243164, 0.5584146976470947], [0.4671761989593506, 0.5452013611793518], [0.4577130377292633, 0.5301290154457092], [0.4477826952934265, 0.5164100527763367], [0.4385601878166199, 0.5032259821891785], [0.4310670495033264, 0.49254438281059265], [0.4239460527896881, 0.4834078848361969], [0.41751670837402344, 0.47522076964378357], [0.4122816324234009, 0.46833378076553345], [0.40802836418151855, 0.4624519348144531], [0.4042626619338989, 0.45819371938705444], [0.401777982711792, 0.4552097022533417], [0.39903250336647034, 0.4531344175338745], [0.3966332972049713, 0.45109274983406067], [0.3947998881340027, 0.4491664171218872], [0.39317506551742554, 0.44761696457862854], [0.3918028473854065, 0.44671717286109924], [0.3902007043361664, 0.44662633538246155], [0.3887012004852295, 0.44655460119247437], [0.3872247040271759, 0.44684746861457825], [0.3858288824558258, 0.4470834732055664], [0.3845057189464569, 0.4474344849586487], [0.38335734605789185, 0.4483398497104645], [0.3820760250091553, 0.44924861192703247], [0.380554735660553, 0.4501648545265198]]
2628|-97496311.46176621|[[0.3461887240409851, 0.46209511160850525], [0.3490104079246521, 0.4661180377006531], [0.3517248034477234, 0.4701153635978699], [0.3543989062309265, 0.47385430335998535], [0.35717517137527466, 0.47743478417396545], [0.35942548513412476, 0.48128095269203186], [0.3610290586948395, 0.4861290752887726], [0.36281612515449524, 0.491318017244339], [0.3659122586250305, 0.4973379075527191], [0.3697131276130676, 0.5021269917488098], [0.3749731481075287, 0.5084576606750488], [0.3796720504760742, 0.512959897518158], [0.3838871717453003, 0.5163131952285767], [0.38592398166656494, 0.5205947160720825], [0.38819268345832825, 0.5249038934707642], [0.39195746183395386, 0.5291906595230103], [0.39664366841316223, 0.5353150367736816], [0.40215498208999634, 0.5428441762924194], [0.40807631611824036, 0.5515007376670837], [0.4144754707813263, 0.5616481900215149], [0.42202094197273254, 0.5726841688156128], [0.4309021830558777, 0.584021270275116], [0.4419490098953247, 0.5960795879364014], [0.45377999544143677, 0.6058806777000427], [0.4663972556591034, 0.6149592995643616], [0.4792448878288269, 0.6223602890968323], [0.4892333745956421, 0.6279674768447876], [0.493514746427536, 0.6302332282066345], [0.49283841252326965, 0.6233818531036377], [0.4861871600151062, 0.6108083724975586], [0.47455844283103943, 0.5934396386146545], [0.4611262381076813, 0.5760126709938049], [0.4490317404270172, 0.5583021640777588], [0.4378889501094818, 0.5410748720169067], [0.427545428276062, 0.5256412029266357], [0.4194093942642212, 0.512083113193512], [0.412142276763916, 0.5002426505088806], [0.4053238034248352, 0.48985615372657776], [0.40036454796791077, 0.4802875518798828], [0.39735907316207886, 0.47237053513526917], [0.3948838412761688, 0.46620577573776245], [0.39293697476387024, 0.46147412061691284], [0.391578733921051, 0.45702093839645386], [0.39033350348472595, 0.4538652300834656], [0.38989847898483276, 0.45132315158843994], [0.38987571001052856, 0.4494630694389343], [0.39073851704597473, 0.44869863986968994], [0.39169037342071533, 0.4487129747867584], [0.3928595781326294, 0.4492828845977783], [0.39401987195014954, 0.44993022084236145], [0.39481425285339355, 0.451095312833786], [0.3955543041229248, 0.4524214565753937], [0.39636558294296265, 0.4539766311645508]]
2920|-92090584.9097417|[[0.3772379159927368, 0.48480960726737976], [0.38090065121650696, 0.48779386281967163], [0.38469332456588745, 0.49064213037490845], [0.3885963559150696, 0.49361076951026917], [0.39282703399658203, 0.49655869603157043], [0.39634039998054504, 0.4990697503089905], [0.39938968420028687, 0.5013692378997803], [0.4027106761932373, 0.5046167969703674], [0.4069025218486786, 0.5088587403297424], [0.4117017388343811, 0.5120343565940857], [0.41605618596076965, 0.5170563459396362], [0.4200403690338135, 0.5236587524414062], [0.4233294725418091, 0.5299481749534607], [0.4258381426334381, 0.5367218852043152], [0.42825570702552795, 0.5440700054168701], [0.43126851320266724, 0.5519799590110779], [0.43571650981903076, 0.5617552995681763], [0.4412481188774109, 0.5728612542152405], [0.44693708419799805, 0.5823065042495728], [0.4530881643295288, 0.5914197564125061], [0.45985400676727295, 0.6007704138755798], [0.4668554365634918, 0.6095967292785645], [0.47525930404663086, 0.6162182092666626], [0.48218870162963867, 0.6212801337242126], [0.4872278571128845, 0.6234572529792786], [0.4907073676586151, 0.6220083832740784], [0.48478004336357117, 0.6124082803726196], [0.47465744614601135, 0.5992974638938904], [0.46238720417022705, 0.5850273966789246], [0.44909462332725525, 0.5704197287559509], [0.4362905025482178, 0.5554357767105103], [0.42425236105918884, 0.5412926077842712], [0.41366493701934814, 0.5285005569458008], [0.4053422212600708, 0.5168361663818359], [0.39930450916290283, 0.5065245628356934], [0.39311304688453674, 0.4966600239276886], [0.3878677189350128, 0.4878492057323456], [0.3838431239128113, 0.4806670546531677], [0.3803689479827881, 0.474504679441452], [0.377690851688385, 0.4694496691226959], [0.3754409849643707, 0.4653048813343048], [0.37416431307792664, 0.46213269233703613], [0.37359634041786194, 0.4597717225551605], [0.37342971563339233, 0.4583667516708374], [0.3738061785697937, 0.4581981897354126], [0.3745408058166504, 0.4585566222667694], [0.37509050965309143, 0.45940712094306946], [0.3758074939250946, 0.4603983759880066], [0.37638574838638306, 0.46196281909942627], [0.37688636779785156, 0.4636547565460205], [0.3774023652076721, 0.46556031703948975], [0.37789130210876465, 0.46773698925971985], [0.3782898187637329, 0.4702116549015045]]
